Date,Description,Credit,Debit,Balance
2024-04-01,FD Interest,111.55,0.0,111.55
2024-04-01,Commission Bonus,687.04,0.0,798.59
2024-04-01,Groceries,0.0,193.99,604.6
2024-04-01,Transportation,0.0,139.3,465.3
2024-04-01,Salary Credit,250000.0,0.0,250465.3
2024-04-01,Health Insurance,0.0,5000.0,245465.3
2024-04-01,FD Interest,25000.0,0.0,270465.3
2024-04-01,Stock Investment,0.0,745.56,269719.74
2024-04-01,Miscellaneous Spending,0.0,130167.85,139551.89
2024-04-01,Stock Investment,0.0,826.06,138725.83
2024-04-01,Healthcare,0.0,128.2,138597.63
2024-04-01,Car Repair,0.0,253.52,138344.11
2024-04-01,Home Loan,0.0,120000.0,18344.11
2024-04-01,Shopping,0.0,438.0,17906.11
2024-04-01,Lottery Win,544.45,0.0,18450.56
2024-04-01,Loan Payment,0.0,382.5,18068.06
2024-04-02,Transportation,0.0,121.03,17947.03
2024-04-02,Childcare,0.0,424.92,17522.11
2024-04-02,Commission Bonus,594.99,0.0,18117.1
2024-04-03,Vacation,0.0,781.76,17335.34
2024-04-04,Car Repair,0.0,615.67,16719.67
2024-04-04,Utilities,0.0,198.51,16521.16
2024-04-04,Insurance,0.0,383.29,16137.87
2024-04-05,Gift Received,552.1,0.0,16689.97
2024-04-05,Stock Investment,0.0,611.6,16078.37
2024-04-05,Gift Received,311.69,0.0,16390.06
2024-04-06,Healthcare,0.0,48.7,16341.36
2024-04-06,Medical Emergency,0.0,1991.65,14349.71
2024-04-06,Groceries,0.0,308.89,14040.82
2024-04-08,Lottery Win,1732.3,0.0,15773.12
2024-04-08,Vacation,0.0,470.88,15302.24
2024-04-08,Insurance,0.0,194.72,15107.52
2024-04-09,Gift Given,0.0,208.27,14899.25
2024-04-09,Legal Settlement,2367.57,0.0,17266.82
2024-04-09,Emergency Fund,0.0,166.08,17100.74
2024-04-10,Hobby Expense,0.0,70.77,17029.97
2024-04-10,Healthcare,0.0,94.52,16935.45
2024-04-10,Car Repair,0.0,576.06,16359.39
2024-04-11,Tips,37.05,0.0,16396.44
2024-04-12,Freelance Project,601.88,0.0,16998.32
2024-04-13,Hobby Expense,0.0,143.82,16854.5
2024-04-14,Rent,0.0,942.99,15911.51
2024-04-14,Emergency Fund,0.0,475.31,15436.2
2024-04-14,Medical Emergency,0.0,1080.69,14355.51
2024-04-15,Groceries,0.0,215.33,14140.18
2024-04-15,Transportation,0.0,122.66,14017.52
2024-04-15,Medical Emergency,0.0,1802.51,12215.01
2024-04-15,Shopping,0.0,430.1,11784.91
2024-04-15,Retirement Contribution,0.0,516.33,11268.58
2024-04-16,Gift Received,122.21,0.0,11390.79
2024-04-17,Gift Given,0.0,160.19,11230.6
2024-04-17,Legal Settlement,4799.66,0.0,16030.26
2024-04-17,Retirement Contribution,0.0,363.13,15667.13
2024-04-17,Utilities,0.0,133.49,15533.64
2024-04-17,Utilities,0.0,167.47,15366.17
2024-04-18,Utilities,0.0,147.0,15219.17
2024-04-18,Gift Given,0.0,121.47,15097.7
2024-04-18,Dining Out,0.0,30.51,15067.19
2024-04-18,Retirement Contribution,0.0,422.74,14644.45
2024-04-18,Vacation,0.0,590.29,14054.16
2024-04-19,Vacation,0.0,456.75,13597.41
2024-04-20,Dining Out,0.0,143.83,13453.58
2024-04-20,Gift Given,0.0,169.18,13284.4
2024-04-20,Healthcare,0.0,88.18,13196.22
2024-04-20,Emergency Fund,0.0,419.62,12776.6
2024-04-21,Dining Out,0.0,59.19,12717.41
2024-04-22,Legal Settlement,2760.06,0.0,15477.47
2024-04-22,Gift Received,480.27,0.0,15957.74
2024-04-22,Groceries,0.0,133.66,15824.08
2024-04-22,Transportation,0.0,282.52,15541.56
2024-04-22,Rent,0.0,1294.43,14247.13
2024-04-23,Legal Settlement,2484.01,0.0,16731.14
2024-04-23,Lottery Win,1925.89,0.0,18657.03
2024-04-23,Childcare,0.0,124.95,18532.08
2024-04-23,Childcare,0.0,398.26,18133.82
2024-04-23,Subscription,0.0,13.24,18120.58
2024-04-23,Commission Bonus,265.86,0.0,18386.44
2024-04-23,Rent,0.0,984.9,17401.54
2024-04-24,Shopping,0.0,387.16,17014.38
2024-04-25,Legal Settlement,1030.23,0.0,18044.61
2024-04-25,Gift Given,0.0,200.85,17843.76
2024-04-25,Insurance,0.0,217.63,17626.13
2024-04-25,Shopping,0.0,416.68,17209.45
2024-04-26,Shopping,0.0,96.72,17112.73
2024-04-26,Freelance Project,1406.19,0.0,18518.92
2024-04-26,Childcare,0.0,203.62,18315.3
2024-04-27,Rent,0.0,987.72,17327.58
2024-04-28,Tips,15.74,0.0,17343.32
2024-04-28,Stock Investment,0.0,473.81,16869.51
2024-04-28,Freelance Project,1249.75,0.0,18119.26
2024-04-29,Retirement Contribution,0.0,371.58,17747.68
2024-04-29,Medical Emergency,0.0,1374.73,16372.95
2024-04-29,Emergency Fund,0.0,428.69,15944.26
2024-04-30,Legal Settlement,2236.39,0.0,18180.65
2024-04-30,Shopping,0.0,401.5,17779.15
2024-04-30,Commission Bonus,361.17,0.0,18140.32
2024-04-30,Freelance Project,525.43,0.0,18665.75
2024-05-01,Health Insurance,0.0,5000.0,13665.75
2024-05-01,Hobby Expense,0.0,31.19,13634.56
2024-05-01,Salary Credit,250000.0,0.0,263634.56
2024-05-01,Lottery Win,596.35,0.0,264230.91
2024-05-01,Stock Investment,0.0,613.44,263617.47
2024-05-01,Loan Payment,0.0,243.46,263374.01
2024-05-01,Lottery Win,1499.96,0.0,264873.97
2024-05-01,FD Interest,83.04,0.0,264957.01
2024-05-01,Home Loan,0.0,120000.0,144957.01
2024-05-01,Miscellaneous Spending,0.0,130167.85,14789.16
2024-05-01,Transportation,0.0,112.12,14677.04
2024-05-02,Medical Emergency,0.0,1491.36,13185.68
2024-05-02,Salary,6357.14,0.0,19542.82
2024-05-02,Dining Out,0.0,128.83,19413.99
2024-05-03,Insurance,0.0,289.05,19124.94
2024-05-03,Freelance Project,1023.16,0.0,20148.1
2024-05-03,Childcare,0.0,221.62,19926.48
2024-05-05,Gift Given,0.0,288.7,19637.78
2024-05-06,Gift Given,0.0,209.06,19428.72
2024-05-06,Car Repair,0.0,718.23,18710.49
2024-05-06,Retirement Contribution,0.0,383.27,18327.22
2024-05-07,Legal Settlement,1556.59,0.0,19883.81
2024-05-07,Car Repair,0.0,357.88,19525.93
2024-05-07,Transportation,0.0,78.23,19447.7
2024-05-07,Transportation,0.0,264.3,19183.4
2024-05-08,Car Repair,0.0,626.58,18556.82
2024-05-08,Gift Given,0.0,54.8,18502.02
2024-05-08,Car Repair,0.0,524.96,17977.06
2024-05-08,Groceries,0.0,379.39,17597.67
2024-05-08,Vacation,0.0,890.21,16707.46
2024-05-09,Car Repair,0.0,568.89,16138.57
2024-05-09,Retirement Contribution,0.0,387.77,15750.8
2024-05-10,Childcare,0.0,301.21,15449.59
2024-05-10,Gift Given,0.0,290.4,15159.19
2024-05-10,Medical Emergency,0.0,1903.46,13255.73
2024-05-10,Shopping,0.0,56.2,13199.53
2024-05-10,Emergency Fund,0.0,411.35,12788.18
2024-05-10,Transportation,0.0,278.31,12509.87
2024-05-11,Childcare,0.0,348.67,12161.2
2024-05-11,Vacation,0.0,644.21,11516.99
2024-05-12,Insurance,0.0,221.69,11295.3
2024-05-12,Medical Emergency,0.0,921.52,10373.78
2024-05-12,Retirement Contribution,0.0,526.66,9847.12
2024-05-13,Subscription,0.0,16.58,9830.54
2024-05-14,Hobby Expense,0.0,192.17,9638.37
2024-05-14,Stock Investment,0.0,597.75,9040.62
2024-05-14,Groceries,0.0,180.28,8860.34
2024-05-14,Medical Emergency,0.0,786.99,8073.35
2024-05-15,Legal Settlement,2899.94,0.0,10973.29
2024-05-16,Tips,73.72,0.0,11047.01
2024-05-16,Gift Received,210.71,0.0,11257.72
2024-05-16,Car Repair,0.0,725.45,10532.27
2024-05-16,Stock Investment,0.0,471.95,10060.32
2024-05-17,Gift Received,169.38,0.0,10229.7
2024-05-17,Emergency Fund,0.0,241.53,9988.17
2024-05-18,Rent,0.0,1012.81,8975.36
2024-05-18,Tips,58.79,0.0,9034.15
2024-05-18,Freelance Project,1109.28,0.0,10143.43
2024-05-18,Stock Investment,0.0,587.86,9555.57
2024-05-18,Tips,72.53,0.0,9628.1
2024-05-19,Stock Investment,0.0,962.95,8665.15
2024-05-19,Stock Investment,0.0,796.45,7868.7
2024-05-19,Shopping,0.0,61.94,7806.76
2024-05-19,Insurance,0.0,131.4,7675.36
2024-05-19,Retirement Contribution,0.0,256.99,7418.37
2024-05-20,Gift Received,448.01,0.0,7866.38
2024-05-21,Car Repair,0.0,253.6,7612.78
2024-05-22,Medical Emergency,0.0,786.63,6826.15
2024-05-24,Salary,6039.96,0.0,12866.11
2024-05-24,Rent,0.0,1184.57,11681.54
2024-05-24,Vacation,0.0,848.4,10833.14
2024-05-24,Emergency Fund,0.0,407.53,10425.61
2024-05-24,Hobby Expense,0.0,132.61,10293.0
2024-05-25,Utilities,0.0,292.18,10000.82
2024-05-26,Vacation,0.0,932.77,9068.05
2024-05-26,Commission Bonus,320.3,0.0,9388.35
2024-05-27,Freelance Project,833.33,0.0,10221.68
2024-05-27,Medical Emergency,0.0,1800.08,8421.6
2024-05-27,Gift Given,0.0,282.51,8139.09
2024-05-28,Freelance Project,989.52,0.0,9128.61
2024-05-29,Salary,5224.74,0.0,14353.35
2024-05-29,Legal Settlement,4657.92,0.0,19011.27
2024-05-30,Salary,3553.65,0.0,22564.92
2024-05-30,Dining Out,0.0,24.8,22540.12
2024-05-30,Vacation,0.0,299.16,22240.96
2024-05-30,Childcare,0.0,481.32,21759.64
2024-05-30,Car Repair,0.0,395.89,21363.75
2024-05-30,Dining Out,0.0,118.96,21244.79
2024-05-31,FD Interest,73.96,0.0,21318.75
2024-05-31,Childcare,0.0,466.49,20852.26
2024-05-31,Loan Payment,0.0,221.61,20630.65
2024-05-31,Gift Given,0.0,265.3,20365.35
2024-05-31,Rent,0.0,1479.02,18886.33
2024-05-31,Subscription,0.0,12.75,18873.58
2024-06-01,Miscellaneous Spending,0.0,130167.85,-111294.27
2024-06-01,Health Insurance,0.0,5000.0,-116294.27
2024-06-01,Hobby Expense,0.0,109.62,-116403.89
2024-06-01,Home Loan,0.0,120000.0,-236403.89
2024-06-01,Salary Credit,250000.0,0.0,13596.11
2024-06-01,Freelance Project,1475.45,0.0,15071.56
2024-06-03,Legal Settlement,2560.8,0.0,17632.36
2024-06-03,Salary,6199.18,0.0,23831.54
2024-06-03,Transportation,0.0,110.63,23720.91
2024-06-04,Car Repair,0.0,485.22,23235.69
2024-06-05,Freelance Project,1256.29,0.0,24491.98
2024-06-05,Car Repair,0.0,233.21,24258.77
2024-06-06,Car Repair,0.0,782.33,23476.44
2024-06-06,Vacation,0.0,584.35,22892.09
2024-06-07,Utilities,0.0,176.38,22715.71
2024-06-09,Retirement Contribution,0.0,406.41,22309.3
2024-06-10,Tips,87.61,0.0,22396.91
2024-06-10,Groceries,0.0,233.03,22163.88
2024-06-10,Childcare,0.0,317.15,21846.73
2024-06-10,Healthcare,0.0,76.42,21770.31
2024-06-10,Childcare,0.0,472.75,21297.56
2024-06-11,Salary,6844.1,0.0,28141.66
2024-06-11,Subscription,0.0,12.91,28128.75
2024-06-11,Commission Bonus,415.8,0.0,28544.55
2024-06-11,Gift Received,622.81,0.0,29167.36
2024-06-13,Transportation,0.0,267.01,28900.35
2024-06-13,Shopping,0.0,240.37,28659.98
2024-06-13,Medical Emergency,0.0,322.0,28337.98
2024-06-14,Rent,0.0,1371.08,26966.9
2024-06-15,Groceries,0.0,210.64,26756.26
2024-06-15,Utilities,0.0,177.73,26578.53
2024-06-15,Gift Received,826.69,0.0,27405.22
2024-06-15,Hobby Expense,0.0,117.23,27287.99
2024-06-15,Retirement Contribution,0.0,293.81,26994.18
2024-06-16,Utilities,0.0,255.25,26738.93
2024-06-16,Healthcare,0.0,31.42,26707.51
2024-06-16,Gift Received,206.56,0.0,26914.07
2024-06-17,Dining Out,0.0,30.09,26883.98
2024-06-17,Retirement Contribution,0.0,212.61,26671.37
2024-06-17,Rent,0.0,805.73,25865.64
2024-06-18,Emergency Fund,0.0,187.14,25678.5
2024-06-18,Stock Investment,0.0,974.63,24703.87
2024-06-18,Gift Given,0.0,127.01,24576.86
2024-06-19,Medical Emergency,0.0,1902.34,22674.52
2024-06-19,Stock Investment,0.0,294.84,22379.68
2024-06-19,Gift Received,245.47,0.0,22625.15
2024-06-20,Salary,3293.83,0.0,25918.98
2024-06-20,Medical Emergency,0.0,1649.71,24269.27
2024-06-20,Gift Received,763.11,0.0,25032.38
2024-06-20,Commission Bonus,789.9,0.0,25822.28
2024-06-20,Shopping,0.0,464.81,25357.47
2024-06-21,Salary,5590.34,0.0,30947.81
2024-06-21,Hobby Expense,0.0,176.69,30771.12
2024-06-22,Insurance,0.0,168.67,30602.45
2024-06-22,Car Repair,0.0,467.86,30134.59
2024-06-23,Emergency Fund,0.0,178.57,29956.02
2024-06-23,Gift Given,0.0,162.97,29793.05
2024-06-23,Transportation,0.0,52.95,29740.1
2024-06-25,Stock Investment,0.0,715.23,29024.87
2024-06-25,Insurance,0.0,106.83,28918.04
2024-06-26,Freelance Project,633.91,0.0,29551.95
2024-06-26,Salary,5949.7,0.0,35501.65
2024-06-27,Car Repair,0.0,374.99,35126.66
2024-06-27,Gift Given,0.0,181.88,34944.78
2024-06-28,Commission Bonus,893.72,0.0,35838.5
2024-06-28,Vacation,0.0,995.71,34842.79
2024-06-29,Groceries,0.0,335.15,34507.64
2024-06-29,Groceries,0.0,355.85,34151.79
2024-06-30,Loan Payment,0.0,263.13,33888.66
2024-06-30,Transportation,0.0,237.99,33650.67
2024-06-30,Stock Investment,0.0,858.91,32791.76
2024-06-30,Lottery Win,1151.8,0.0,33943.56
2024-06-30,FD Interest,134.45,0.0,34078.01
2024-06-30,Insurance,0.0,361.23,33716.78
2024-07-01,Miscellaneous Spending,0.0,130167.85,-96451.08
2024-07-01,Subscription,0.0,46.08,-96497.16
2024-07-01,Medical Emergency,0.0,614.13,-97111.29
2024-07-01,Gift Received,962.04,0.0,-96149.25
2024-07-01,Home Loan,0.0,120000.0,-216149.25
2024-07-01,FD Interest,25000.0,0.0,-191149.25
2024-07-01,Car Repair,0.0,684.22,-191833.47
2024-07-01,Rent,0.0,823.12,-192656.59
2024-07-01,Healthcare,0.0,41.74,-192698.33
2024-07-01,Salary Credit,250000.0,0.0,57301.67
2024-07-01,Transportation,0.0,218.59,57083.08
2024-07-01,Health Insurance,0.0,5000.0,52083.08
2024-07-02,Commission Bonus,231.4,0.0,52314.48
2024-07-03,Car Repair,0.0,748.05,51566.43
2024-07-04,Childcare,0.0,204.57,51361.86
2024-07-05,Groceries,0.0,143.6,51218.26
2024-07-05,Salary,3264.19,0.0,54482.45
2024-07-05,Legal Settlement,2134.24,0.0,56616.69
2024-07-06,Retirement Contribution,0.0,405.0,56211.69
2024-07-06,Retirement Contribution,0.0,332.09,55879.6
2024-07-06,Medical Emergency,0.0,1741.87,54137.73
2024-07-06,Emergency Fund,0.0,136.17,54001.56
2024-07-07,Gift Given,0.0,253.06,53748.5
2024-07-08,Legal Settlement,3993.69,0.0,57742.19
2024-07-09,Medical Emergency,0.0,1200.16,56542.03
2024-07-09,Commission Bonus,231.12,0.0,56773.15
2024-07-09,Medical Emergency,0.0,1497.0,55276.15
2024-07-09,Subscription,0.0,33.03,55243.12
2024-07-10,Gift Received,215.33,0.0,55458.45
2024-07-10,Gift Received,469.06,0.0,55927.51
2024-07-11,Retirement Contribution,0.0,331.67,55595.84
2024-07-12,Healthcare,0.0,27.54,55568.3
2024-07-12,Rent,0.0,1120.75,54447.55
2024-07-13,Legal Settlement,1366.57,0.0,55814.12
2024-07-13,Commission Bonus,517.75,0.0,56331.87
2024-07-13,Groceries,0.0,205.3,56126.57
2024-07-13,Legal Settlement,1662.86,0.0,57789.43
2024-07-14,Dining Out,0.0,32.46,57756.97
2024-07-14,Rent,0.0,1258.65,56498.32
2024-07-14,Gift Received,942.57,0.0,57440.89
2024-07-15,Legal Settlement,1795.17,0.0,59236.06
2024-07-15,Hobby Expense,0.0,164.63,59071.43
2024-07-15,Car Repair,0.0,437.07,58634.36
2024-07-15,Transportation,0.0,52.81,58581.55
2024-07-16,Transportation,0.0,77.57,58503.98
2024-07-16,Childcare,0.0,256.25,58247.73
2024-07-16,Insurance,0.0,237.25,58010.48
2024-07-18,Salary,3162.01,0.0,61172.49
2024-07-18,Subscription,0.0,20.54,61151.95
2024-07-18,Dining Out,0.0,74.3,61077.65
2024-07-18,Gift Received,842.07,0.0,61919.72
2024-07-18,Dining Out,0.0,24.8,61894.92
2024-07-18,Healthcare,0.0,188.93,61705.99
2024-07-18,Groceries,0.0,386.46,61319.53
2024-07-19,Shopping,0.0,435.7,60883.83
2024-07-19,Gift Given,0.0,114.11,60769.72
2024-07-20,Subscription,0.0,11.39,60758.33
2024-07-21,Healthcare,0.0,97.5,60660.83
2024-07-21,Gift Received,576.52,0.0,61237.35
2024-07-21,Childcare,0.0,466.41,60770.94
2024-07-21,Transportation,0.0,124.34,60646.6
2024-07-23,Gift Given,0.0,126.53,60520.07
2024-07-23,Retirement Contribution,0.0,453.43,60066.64
2024-07-24,Healthcare,0.0,110.52,59956.12
2024-07-24,Tips,74.56,0.0,60030.68
2024-07-24,Hobby Expense,0.0,57.59,59973.09
2024-07-25,Childcare,0.0,364.14,59608.95
2024-07-25,Transportation,0.0,213.85,59395.1
2024-07-25,Gift Given,0.0,76.57,59318.53
2024-07-26,Medical Emergency,0.0,1241.2,58077.33
2024-07-27,Dining Out,0.0,72.7,58004.63
2024-07-28,Transportation,0.0,100.03,57904.6
2024-07-28,Car Repair,0.0,696.71,57207.89
2024-07-28,Gift Given,0.0,93.14,57114.75
2024-07-29,Medical Emergency,0.0,558.31,56556.44
2024-07-29,Tips,48.75,0.0,56605.19
2024-07-29,Groceries,0.0,395.18,56210.01
2024-07-30,Retirement Contribution,0.0,330.29,55879.72
2024-07-30,Loan Payment,0.0,357.93,55521.79
2024-07-30,FD Interest,156.02,0.0,55677.81
2024-07-30,Dining Out,0.0,111.02,55566.79
2024-07-30,Commission Bonus,974.13,0.0,56540.92
2024-07-30,Vacation,0.0,242.04,56298.88
2024-07-31,Insurance,0.0,298.5,56000.38
2024-07-31,Shopping,0.0,271.1,55729.28
2024-07-31,Dining Out,0.0,29.2,55700.08
2024-08-01,Home Loan,0.0,120000.0,-64299.92
2024-08-01,Salary,5112.29,0.0,-59187.63
2024-08-01,Health Insurance,0.0,5000.0,-64187.63
2024-08-01,Tips,37.96,0.0,-64149.67
2024-08-01,Miscellaneous Spending,0.0,130167.85,-194317.52
2024-08-01,Salary Credit,250000.0,0.0,55682.48
2024-08-01,Childcare,0.0,407.25,55275.23
2024-08-02,Dining Out,0.0,39.87,55235.36
2024-08-02,Freelance Project,420.74,0.0,55656.1
2024-08-04,Medical Emergency,0.0,1750.66,53905.44
2024-08-04,Car Repair,0.0,756.1,53149.34
2024-08-04,Vacation,0.0,277.72,52871.62
2024-08-05,Gift Given,0.0,247.25,52624.37
2024-08-06,Vacation,0.0,999.93,51624.44
2024-08-06,Transportation,0.0,209.14,51415.3
2024-08-06,Utilities,0.0,280.5,51134.8
2024-08-07,Transportation,0.0,167.47,50967.33
2024-08-08,Lottery Win,1620.99,0.0,52588.32
2024-08-08,Medical Emergency,0.0,1035.04,51553.28
2024-08-09,Medical Emergency,0.0,1598.63,49954.65
2024-08-10,Car Repair,0.0,437.76,49516.89
2024-08-10,Transportation,0.0,292.23,49224.66
2024-08-10,Utilities,0.0,106.26,49118.4
2024-08-10,Retirement Contribution,0.0,409.99,48708.41
2024-08-10,Legal Settlement,1076.76,0.0,49785.17
2024-08-10,Groceries,0.0,270.57,49514.6
2024-08-10,Lottery Win,1985.28,0.0,51499.88
2024-08-11,Freelance Project,483.37,0.0,51983.25
2024-08-11,Salary,6809.32,0.0,58792.57
2024-08-11,Gift Given,0.0,72.29,58720.28
2024-08-11,Tips,14.14,0.0,58734.42
2024-08-11,Hobby Expense,0.0,195.31,58539.11
2024-08-11,Legal Settlement,4877.21,0.0,63416.32
2024-08-11,Lottery Win,1148.68,0.0,64565.0
2024-08-12,Rent,0.0,1107.6,63457.4
2024-08-12,Car Repair,0.0,725.29,62732.11
2024-08-13,Gift Received,944.2,0.0,63676.31
2024-08-13,Legal Settlement,1099.18,0.0,64775.49
2024-08-13,Insurance,0.0,332.27,64443.22
2024-08-13,Vacation,0.0,816.43,63626.79
2024-08-13,Emergency Fund,0.0,244.87,63381.92
2024-08-13,Groceries,0.0,100.52,63281.4
2024-08-14,Insurance,0.0,157.23,63124.17
2024-08-15,Commission Bonus,663.4,0.0,63787.57
2024-08-15,Tips,24.72,0.0,63812.29
2024-08-16,Lottery Win,1546.15,0.0,65358.44
2024-08-16,Car Repair,0.0,471.54,64886.9
2024-08-16,Shopping,0.0,410.92,64475.98
2024-08-16,Gift Given,0.0,154.37,64321.61
2024-08-17,Gift Given,0.0,264.0,64057.61
2024-08-17,Transportation,0.0,254.72,63802.89
2024-08-17,Transportation,0.0,179.38,63623.51
2024-08-17,Stock Investment,0.0,161.77,63461.74
2024-08-17,Tips,21.86,0.0,63483.6
2024-08-18,Subscription,0.0,30.69,63452.91
2024-08-19,Salary,6672.98,0.0,70125.89
2024-08-19,Rent,0.0,1406.61,68719.28
2024-08-20,Gift Received,768.84,0.0,69488.12
2024-08-20,Legal Settlement,1859.79,0.0,71347.91
2024-08-21,Commission Bonus,706.33,0.0,72054.24
2024-08-21,Hobby Expense,0.0,174.56,71879.68
2024-08-21,Legal Settlement,2997.07,0.0,74876.75
2024-08-22,Healthcare,0.0,75.07,74801.68
2024-08-22,Vacation,0.0,472.06,74329.62
2024-08-22,Groceries,0.0,172.78,74156.84
2024-08-23,Insurance,0.0,160.21,73996.63
2024-08-23,Tips,20.54,0.0,74017.17
2024-08-24,Groceries,0.0,424.42,73592.75
2024-08-24,Gift Received,117.39,0.0,73710.14
2024-08-25,Lottery Win,581.02,0.0,74291.16
2024-08-25,Rent,0.0,1049.22,73241.94
2024-08-25,Rent,0.0,802.13,72439.81
2024-08-26,Commission Bonus,760.59,0.0,73200.4
2024-08-26,Gift Received,169.82,0.0,73370.22
2024-08-27,Stock Investment,0.0,901.81,72468.41
2024-08-27,Car Repair,0.0,551.36,71917.05
2024-08-27,Shopping,0.0,415.19,71501.86
2024-08-28,Hobby Expense,0.0,74.92,71426.94
2024-08-28,Salary,4206.45,0.0,75633.39
2024-08-28,Dining Out,0.0,111.98,75521.41
2024-08-28,Commission Bonus,697.22,0.0,76218.63
2024-08-28,Car Repair,0.0,404.85,75813.78
2024-08-29,Emergency Fund,0.0,457.27,75356.51
2024-08-29,Dining Out,0.0,52.24,75304.27
2024-08-29,Dining Out,0.0,41.91,75262.36
2024-08-29,FD Interest,146.41,0.0,75408.77
2024-08-29,Salary,4868.55,0.0,80277.32
2024-08-29,Groceries,0.0,319.72,79957.6
2024-08-30,Groceries,0.0,391.51,79566.09
2024-08-31,Medical Emergency,0.0,540.51,79025.58
2024-08-31,Commission Bonus,554.26,0.0,79579.84
2024-08-31,Emergency Fund,0.0,120.59,79459.25
2024-08-31,Rent,0.0,1431.41,78027.84
2024-08-31,Transportation,0.0,280.85,77746.99
2024-08-31,Healthcare,0.0,99.25,77647.74
2024-09-01,Salary Credit,250000.0,0.0,327647.74
2024-09-01,Home Loan,0.0,120000.0,207647.74
2024-09-01,Vacation,0.0,634.88,207012.86
2024-09-01,Health Insurance,0.0,5000.0,202012.86
2024-09-01,Miscellaneous Spending,0.0,130167.85,71845.01
2024-09-02,Dining Out,0.0,91.37,71753.64
2024-09-02,Tips,80.29,0.0,71833.93
2024-09-02,Insurance,0.0,335.56,71498.37
2024-09-03,Salary,3011.13,0.0,74509.5
2024-09-03,Gift Received,427.14,0.0,74936.64
2024-09-03,Groceries,0.0,494.97,74441.67
2024-09-03,Legal Settlement,3321.48,0.0,77763.15
2024-09-04,Medical Emergency,0.0,1805.69,75957.46
2024-09-05,Lottery Win,1549.35,0.0,77506.81
2024-09-05,Shopping,0.0,258.9,77247.91
2024-09-05,Legal Settlement,4202.09,0.0,81450.0
2024-09-06,Groceries,0.0,244.36,81205.64
2024-09-06,Groceries,0.0,169.7,81035.94
2024-09-06,Insurance,0.0,379.79,80656.15
2024-09-06,Gift Given,0.0,60.65,80595.5
2024-09-06,Gift Given,0.0,61.74,80533.76
2024-09-06,Groceries,0.0,129.05,80404.71
2024-09-07,Tips,56.42,0.0,80461.13
2024-09-09,Medical Emergency,0.0,681.13,79780.0
2024-09-09,Rent,0.0,1028.57,78751.43
2024-09-10,Shopping,0.0,407.54,78343.89
2024-09-10,Freelance Project,531.57,0.0,78875.46
2024-09-11,Lottery Win,1280.25,0.0,80155.71
2024-09-11,Gift Given,0.0,267.89,79887.82
2024-09-11,Emergency Fund,0.0,185.91,79701.91
2024-09-11,Gift Given,0.0,126.86,79575.05
2024-09-12,Lottery Win,1156.44,0.0,80731.49
2024-09-13,Insurance,0.0,376.61,80354.88
2024-09-14,Stock Investment,0.0,369.45,79985.43
2024-09-15,Emergency Fund,0.0,285.2,79700.23
